id,quid,question,true_answer,llm_answer,correct,llm_answer_chosen,reward_method,reward_score
51,,"A man invests some money partly in 9% stock at 96 and partly in 12% stock at 120. To obtain equal dividends from both, he must invest the money in the ratio:",C,C,True,,,
52,,"A, B, C rent a pasture. A puts 10 oxen for 7 months, B puts 12 oxen for 5 months and C puts 15 oxen for 3 months for grazing. If the rent of the pasture is Rs. 175, how much must C pay as his share of rent?",A,C,False,,,
53,,A train 500 m long can cross an electric pole in 20 sec and then find the speed of the train?,B,A,False,,,
54,,"The smallest number when increased by "" 1 "" is exactly divisible by 6,9,15,35,45 is:",D,B,False,,,
55,,How many keystrokes are needed to type the numbers from 1 to 500?,B,B,True,,,
56,,"In a two-digit number, the digit in the unit's place is four times the digit in ten's place and the sum of the digits is equal to 10. What is the number?",E,A,False,,,
57,,The edge of a cube is 7a cm. Find its surface?,E,B,False,,,
58,,A shop sells chocolates It is used to sell chocolates for Rs.2 each but there were no sales at that price.When it reduced the price all the chocolates sold out enabling the shopkeeper to realize Rs 164.90 from the chocolates alone If the new price was not less than half the original price quoted How many chocolates were sold?,B,E,False,,,
59,,A board 7ft. 9 inches long is divided into 3 equal parts . What is the length of each part?,A,C,False,,,
60,,Find the number of zeroes in the expression 15*32*25*22*40*75*98*112*125,B,A,False,,,
61,,The diagonals of a rhombus are 18 cm and 22 cm. Find its area?,C,D,False,,,
62,,"If rupee one produces rupees nine over a period of 40 years, find the rate of simple interest?",D,A,False,,,
63,,"A and B invests Rs.6000 and Rs.12000 in a business. After 4 months, A withdraws half of his capital and 2 months later, B withdraws one-third of his capital. In what ratio should they share the profits at the end of the year?",B,B,True,,,
64,,"A train covers a distance of 10km in 10 min. If it takes 6 sec to pass a telegraph post, then the length of the train is?",C,C,True,,,
65,,"The rental charge for a car is 34 cents for the first 1/4 mile driven and 6 cents for every 1/5 mile driven over the initial 1/4 mile. If a man paid $1.24 in rental charges, how many miles did he drive?",C,C,True,,,
66,,"A question paper consists of three sections 4,5 and 6 questions respectively. Attempting one question from each section is compulsory but a candidate need not attempt all the questions. In how many ways can a candidate attempt the questions?",D,A,False,,,
67,,10 women can complete a work in 9 days and 10 children take 12 days to complete the work. How many days will 6 women and 7 children take to complete the work?,D,B,False,,,
68,,Three numbers are in the ratio 5 : 6 : 7. The sum of its longest and smallest numbers equals the sum of the third number and 54. Find the third number?,E,C,False,,,
69,,At the end of a business conference the nine people present all shake hands with each other once. How many handshakes will there be altogether ?,C,B,False,,,
70,,Sum of the squares of three numbers is 351 and the sum of their products taken two at a time is 245. Find the sum?,E,C,False,,,
71,,What is the are of an equilateral triangle of side 16 cm?,D,B,False,,,
72,,Each of the following equations W has at least one solution EXCEPT,A,C,False,,,
73,,"If the population of a certain country increases at the rate of one person every 40 seconds, by how many persons does the population increase in 1 hour?",A,D,False,,,
74,,"A train crosses a platform of 120 m in 15 sec, same train crosses another platform of length 180 m in 18 sec. then find the length of the train?",B,A,False,,,
75,,Find the area of a rhombus whose side is 25 cm and one of the diagonals is 30 cm?,E,A,False,,,
76,,How long does a train 110 m long running at the speed of 72 km/hr takes to cross a bridge 132 m length?,B,C,False,,,
77,,"The consumption of diesel per hour of a bus varies directly as square of its speed. When the bus is travelling at 60 kmph its consumption is 1 litre per hour. if each litre costs $60 and other expenses per hous is $ 60, then what would be the minimum expenditure required to cover a distance of 600 Km?",C,C,True,,,
78,,"From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. What is the probability of having 0 woman in committee ?",C,C,True,,,
79,,"A box contains nine bulbs out of which 4 are defective. If four bulbs are chosen at random, find the probability that exactly three bulbs are good.?",B,A,False,,,
80,,A train passes a station platform in 32 sec and a man standing on the platform in 20 sec. If the speed of the train is 54 km/hr. What is the length of the platform?,E,B,False,,,
81,,"If |w|=−w, which of the following must be true?",B,B,True,,,
82,,Two numbers are less than third number by 30% and 37% respectively. How much percent is the second number less than by the first,C,C,True,,,
83,,How many numbers from 39 to 79 are exactly divisible by 11?,C,C,True,,,
84,,It is found that the volume of a cube is numerically equal to its surface area. Then the measure of its edge in meters is:,B,A,False,,,
85,,"if there are 30 cans out of them one is poisned if a person tastes very little he will die within 14 hours so if there are mice to test and 24 hours to test, how many mices are required to find the poisned can?",D,A,False,,,
86,,How long does a train 165 meters long running at the rate of 72 kmph take to cross a bridge 660 meters in length?,B,B,True,,,
87,,"A particular store purchased a stock of turtleneck sweaters and marked up its cost by 20%. During the New Year season, it further marked up its prices by 25% of the original retail price. In February, the store then offered a discount of 15%. What was its profit on the items sold in February?",A,C,False,,,
88,,Half of 2 percent written as decimal is,A,D,False,,,
89,,"If books bought at prices ranging from Rs. 98 to Rs. 195 are sold at prices ranging from Rs. 120 to Rs 215, what is the greatest possible profit that might be made in selling 13 books ?",C,B,False,,,
90,,"Two trains A and B starting from two points and travelling in opposite directions, reach their destinations 9 hours and 4 hours respectively after meeting each other. If the train A travels at 60kmph, find the rate at which the train B runs.",B,B,True,,,
91,,I bought three toys for my triplet boys (one for each). I placed the toys in the dark store. One by one each boy went to the store and pick the toy. What is the probability that no boy will choose his own toy?,A,B,False,,,
92,,"A man, a woman and a boy can complete a job in 3 days, 4 days and 12 days respectively. How many boys must assist 1 man and 1 woman to complete the job in 1/4th of a day?",B,C,False,,,
93,,"At present, the ratio between the ages of Amit and Dhiraj is 5 : 4. After 6 years, Amit’s age will be 26 years. What is the age of Dhiraj at present?",A,A,True,,,
94,,A and B invests Rs.3000 and Rs.4000 respectively in a business. If A doubles his capital after 6 months. In what ratio should A and B divide that year's profit?,B,B,True,,,
95,,"If x-y=10, which of the following must be true?
I. Both x and y are positive
II. If x is negative, y must be negative
III.If x is positive, y must be positive",B,B,True,,,
96,,"If each side of a square is increased by 25%, find the percentage change in its area?",B,B,True,,,
97,,"If the sum and difference of two numbers are 20 and 8 respectively, then the difference of their square is:",C,C,True,,,
98,,"If $500 is deposited into a savings account at an annual interest rate of 5% that compounds monthly, what is the value of the investment after 10 years?",B,C,False,,,
99,,Two jars contain milk and water in the ratio 5: 4 and 2: 1 regpectively. What volume should be taken out from the first jar if volumes have to be taken out from both jars so as to fill up a third 30 l jar with milk to water in the ratio 1: 1 ?,D,B,False,,,
