id,quid,question,answer,answer_type,choices,answer_word,facts
18,,John found that the average of 15 numbers is 40. If 10 is added to each number then the mean of number is?,A,MULTIPLE_CHOICE,"A)50
B)45
C)65
D)78
E)64",,
19,,A person is traveling at 20 km/hr and reached his destiny in 2.5 hr then find the distance?,E,MULTIPLE_CHOICE,"A)53 km
B)55 km
C)52 km
D)60 km
E)50 km",,
20,,"The first five numbers in a regular sequence are 4, 10, X, 46, and 94. What is x ?",D,MULTIPLE_CHOICE,"A)28
B)26
C)30
D)22
E)24",,
21,,"Tim has 350 pounds of cement in 100, 50, and 25 pound bags. He has an equal number of each size bag. How many bags of cement does Tim have?",C,MULTIPLE_CHOICE,"A)2
B)4
C)6
D)8
E)10",,
22,,"What is the least value of x, So that 2x5475 is divisible by 9",C,MULTIPLE_CHOICE,"A)7
B)8
C)4
D)3
E)2",,
23,,"Square P is inscribed in circle Q. If the perimeter of P is 40, what is the circumference of Q?",B,MULTIPLE_CHOICE,"A)11√ 2π
B)10√ 2π
C)9√ 2π
D)8√ 2π
E)7√ 2π",,
24,,"A debtor reached an agreement with his creditor to repay a loan by making a monthly payment which is double of the amount she paid the previous month. If the debtors first payment was $200, and he is expected to pay back 51200, how many months will it take to fully repay the loan?",A,MULTIPLE_CHOICE,"A)9
B)10
C)9
D)12
E)10",,
25,,"As a bicycle salesperson, James earns a fixed salary of $30 per week plus $6 per bicycle for the first 6 bicycles he sells, $12 per bicycle for the next 6 bicycles he sells, and $18 per bicycle for every bicycle sold after first 12. This week, he earned more than twice as much as he did last week. If he sold x bicycles last week and y bicycles this week, which of the following statements must be true?
I. y<2x
II. y>x
III. y>3",C,MULTIPLE_CHOICE,"A)I,II only
B)I only
C)II,III only
D)II only
E)III only",,
26,,"A school currently maintains a fixed number of students per class. If the ratio of students per class were to be increased by 1, 10 fewer classes would be run for a total of 120 students. What is the current ratio Q of students per class?",A,MULTIPLE_CHOICE,"A)Q=3
B)Q=4
C)6
D)8
E)12",,
27,,"A survey reveals that the average income of a company’s customers is $45,000 per year. If 50 customers respond to the survey and the average income of the wealthiest 10 of those customers is $95,000, what is the average income of the other 40 customers?
Is there a way to solve this using weighted average concept instead of doing tedious calculations?",A,MULTIPLE_CHOICE,"A) $32,500
B) $35,000
C) $37,500
D) $42,500
E) $50,000",,
28,,"The slant height of a cone is 35 cm and radius of the base is 14cm, find the curved surface of the cone.",C,MULTIPLE_CHOICE,"A)4150
B)1780
C)1540
D)1500
E)6100",,
29,,"A cheese factory sells its cheese in rectangular blocks. A normal block has a volume of 8 cubic feet. If a small block has half the width, half the depth, and half the length of a normal block, what is the volume of cheese in a small block in cubic feet?",A,MULTIPLE_CHOICE,"A)1
B)5
C)4
D)6
E)2",,
30,,"In a new housing development, trees are to be planted along the sidewalk of a certain street. Each tree takes up one square foot of sidewalk space, and there are to be 20 feet between each tree. How many trees can be planted if the road is 148 feet long?",A,MULTIPLE_CHOICE,"A)8
B)9
C)10
D)11
E)16",,
31,,What will be the difference in simple and compound interest on 2000 after three years at the rate of 10 percent per annum?,C,MULTIPLE_CHOICE,"A)160
B)42
C)62
D)20
E)None of these",,
32,,"A $500 investment and a $1,500 investment have a combined yearly return of 19 percent of the total of the two investments. If the $500 investment has a yearly return of 7 percent, what percent yearly return does the $1,500 investment have?",C,MULTIPLE_CHOICE,"A)9%
B)10%
C)23%
D)21%
E)22%",,
33,,Find the constant k so that : -x2 - (k + 11)x - 8 = -(x - 2)(x - 4),C,MULTIPLE_CHOICE,"A)11
B)12
C)17
D)14
E)15",,
34,,A positive whole number has factors of 3 and 5. The number MUST be divisible by: I. 15 II. 30 III. 60,B,MULTIPLE_CHOICE,"A)I & II
B)III
C)I & III
D)II & III
E)II",,
35,,Krishan and Nandan jointly started a business. Krishan invested six times as Nandan did and invested his money for double time as compared to Nandan. Nandan earned Rs. 6000. If the gain is proportional to the money invested and the time for which the money is invested then the total gain was?,A,MULTIPLE_CHOICE,"A)Rs.78000
B)Rs.48000
C)Rs.6000
D)Rs.82000
E)Rs.32000",,
36,,"There are 8 players in a chess group, and each player plays each of the others once. Given that each game is played by two players, how many total games will be played?",C,MULTIPLE_CHOICE,"A)10
B)30
C)28
D)60
E)90",,
37,,A pipe takes a hours to fill the tank. But because of a leakage it took 2 times of its original time. Find the time taken by the leakage to empty the tank,E,MULTIPLE_CHOICE,"A)50 min
B)60 min
C)90 min
D)80 min
E)120 min",,
38,,"Today is 22 days before Mariah's graduation. If she graduates on a Friday, what day of the week is it today?",D,MULTIPLE_CHOICE,"A)Monday
B)Friday
C)Tuesday
D)Thursday
E)Sunday",,
39,,"Suppose a, b, and c are positive integers with a < b < c such that
1/a
+
1/b
+
1/c
= 1. What is
a + b + c?",D,MULTIPLE_CHOICE,"A)1
B)4
C)9
D)11
E)no such integers exist",,
40,,"The age of man is three times the sum of the ages of his two sons.Four years hence,his age will be double of the sum of the ages of his sons.The fatherâ€™s present age is :",A,MULTIPLE_CHOICE,"A)36 years
B)45 years
C)50 years
D)55 years
E)75 years",,
41,,"A bottle of coke contains 200gm in place of 1kg of fluid. Find the actual % difference, given a 10% gain on initial fluid?",B,MULTIPLE_CHOICE,"A)32.5%
B)112.5%
C)35%
D)40%
E)50%",,
42,,"A person can walk at a constant rate of 8mph and can bike at a rate of 16mph. If he wants to travel 64 miles in 8 hours using bike and walking at their constant rates, how much distance would he require to walk?",D,MULTIPLE_CHOICE,"A)20
B)30
C)48
D)64
E)72",,
43,,5358 x 51 = ?,A,MULTIPLE_CHOICE,"A)273258
B)273268
C)273348
D)273358
E)None of these",,
44,,3 persons (1 couple and 1 single) are seated at random in a row of 5 chairs. What is the probability that the couple does not sit together?,D,MULTIPLE_CHOICE,"A)5/7
B)4/5
C)2/5
D)3/5
E)11/8",,
45,,"In a recent survey at a local deli, it was observed that 3 out of 5 customers bought a bagel and 5 out of 7 customers bought a coffee. Some customers bought both. If 8 customers are selected, what are the chances that at least 1 customer bought a coffee and a bagel?",D,MULTIPLE_CHOICE,"A)27/343
B)3/7
C)27/125
D)199/245
E)9/125",,
46,,|x+3| – |4-x| = |8+x| How many S solutions will this equation have?,A,MULTIPLE_CHOICE,"A)0
B)1
C)2
D)3
E)4",,
47,,"The output of a factory was increased by 10% to keep up with rising demand. To handle the holiday rush, this new output was increased by 20%. By approximately what percent would the output now have to be decreased in order to restore the original output?",B,MULTIPLE_CHOICE,"A)20%
B)24%
C)30%
D)32%
E)79%",,
48,,"In a graduate physics course, 70 percent of the students are male and 30 percent of the students are married. If two-sevenths of the male students are married, what fraction of the male students is single?",E,MULTIPLE_CHOICE,"A)2/7
B)1/3
C)1/2
D)2/3
E)5/7",,
49,,The cost of painting the whole surface area of a cube at the rate of 13 paise per Sq.cm is Rs. 343.98. Then the volume of the cube is,D,MULTIPLE_CHOICE,"A)8500 cm3
B)9000 cm3
C)9250 cm3
D)9261 cm3
E)None",,
50,,A man sold 20 articles for $60 and gained 20%. How many articles should he sell for $50 to incur a loss 20%?,A,MULTIPLE_CHOICE,"A)25
B)36
C)40
D)50
E)48",,
51,,"A man invests some money partly in 9% stock at 96 and partly in 12% stock at 120. To obtain equal dividends from both, he must invest the money in the ratio:",C,MULTIPLE_CHOICE,"A)3:5
B)2:1
C)16:15
D)4:5
E)None of these",,
52,,"A, B, C rent a pasture. A puts 10 oxen for 7 months, B puts 12 oxen for 5 months and C puts 15 oxen for 3 months for grazing. If the rent of the pasture is Rs. 175, how much must C pay as his share of rent?",A,MULTIPLE_CHOICE,"A)Rs. 45
B)Rs. 50
C)Rs. 55
D)Rs. 60
E)Rs. 65",,
53,,A train 500 m long can cross an electric pole in 20 sec and then find the speed of the train?,B,MULTIPLE_CHOICE,"A)95 Kmph
B)90 Kmph
C)92 Kmph
D)95 Kmph
E)98 Kmph",,
54,,"The smallest number when increased by "" 1 "" is exactly divisible by 6,9,15,35,45 is:",D,MULTIPLE_CHOICE,"A)631
B)630
C)359
D)629
E)600",,
55,,How many keystrokes are needed to type the numbers from 1 to 500?,B,MULTIPLE_CHOICE,"A)1156
B)1392
C)1480
D)1562
E)1788",,
56,,"In a two-digit number, the digit in the unit's place is four times the digit in ten's place and the sum of the digits is equal to 10. What is the number?",E,MULTIPLE_CHOICE,"A)82
B)41
C)14
D)56
E)28",,
57,,The edge of a cube is 7a cm. Find its surface?,E,MULTIPLE_CHOICE,"A)24a8
B)24a4
C)24a1
D)24a2
E)294a2",,
58,,A shop sells chocolates It is used to sell chocolates for Rs.2 each but there were no sales at that price.When it reduced the price all the chocolates sold out enabling the shopkeeper to realize Rs 164.90 from the chocolates alone If the new price was not less than half the original price quoted How many chocolates were sold?,B,MULTIPLE_CHOICE,"A)1.9
B)1.7
C)1.2
D)1.5
E)1.6",,
59,,A board 7ft. 9 inches long is divided into 3 equal parts . What is the length of each part?,A,MULTIPLE_CHOICE,"A)31 inches
B)32 inches
C)33 inches
D)34 inches
E)35 inches",,
60,,Find the number of zeroes in the expression 15*32*25*22*40*75*98*112*125,B,MULTIPLE_CHOICE,"A)12
B)9
C)14
D)7
E)6",,
61,,The diagonals of a rhombus are 18 cm and 22 cm. Find its area?,C,MULTIPLE_CHOICE,"A)277
B)266
C)198
D)288
E)212",,
62,,"If rupee one produces rupees nine over a period of 40 years, find the rate of simple interest?",D,MULTIPLE_CHOICE,"A)22 1/8 %
B)22 3/2 %
C)28 1/2 %
D)22 1/2 %
E)32 1/2 %",,
63,,"A and B invests Rs.6000 and Rs.12000 in a business. After 4 months, A withdraws half of his capital and 2 months later, B withdraws one-third of his capital. In what ratio should they share the profits at the end of the year?",B,MULTIPLE_CHOICE,"A)32:99
B)8:21
C)32:45
D)34:89
E)35:21",,
64,,"A train covers a distance of 10km in 10 min. If it takes 6 sec to pass a telegraph post, then the length of the train is?",C,MULTIPLE_CHOICE,"A)m
B)m
C)m
D)m
E)m",,
65,,"The rental charge for a car is 34 cents for the first 1/4 mile driven and 6 cents for every 1/5 mile driven over the initial 1/4 mile. If a man paid $1.24 in rental charges, how many miles did he drive?",C,MULTIPLE_CHOICE,"A)2.5
B)3.0
C)3.25
D)3.75
E)4.0",,
66,,"A question paper consists of three sections 4,5 and 6 questions respectively. Attempting one question from each section is compulsory but a candidate need not attempt all the questions. In how many ways can a candidate attempt the questions?",D,MULTIPLE_CHOICE,"A)209
B)(4!-1)*(5!-1)*(6!-1)
C)119
D)29295
E)None",,
67,,10 women can complete a work in 9 days and 10 children take 12 days to complete the work. How many days will 6 women and 7 children take to complete the work?,D,MULTIPLE_CHOICE,"A)4
B)5
C)7
D)8
E)2",,
68,,Three numbers are in the ratio 5 : 6 : 7. The sum of its longest and smallest numbers equals the sum of the third number and 54. Find the third number?,E,MULTIPLE_CHOICE,"A)A)37
B)B)85
C)C)48
D)D)43
E)E)54",,
69,,At the end of a business conference the nine people present all shake hands with each other once. How many handshakes will there be altogether ?,C,MULTIPLE_CHOICE,"A)20
B)45
C)36
D)90
E)95",,
70,,Sum of the squares of three numbers is 351 and the sum of their products taken two at a time is 245. Find the sum?,E,MULTIPLE_CHOICE,"A)20
B)22
C)25
D)26
E)29",,
71,,What is the are of an equilateral triangle of side 16 cm?,D,MULTIPLE_CHOICE,"A)64√6 cm2
B)64√3 cm2
C)64√9 cm2
D)34√3 cm2
E)24√3 cm2",,
72,,Each of the following equations W has at least one solution EXCEPT,A,MULTIPLE_CHOICE,"A)W=–2^n = (–2)^-n
B)2^-n = (–2)^n
C)2^n = (–2)^-n
D)(–2)^n = –2^n
E)(–2)^-n = –2^-n",,
73,,"If the population of a certain country increases at the rate of one person every 40 seconds, by how many persons does the population increase in 1 hour?",A,MULTIPLE_CHOICE,"A)90
B)120
C)150
D)180
E)160",,
74,,"A train crosses a platform of 120 m in 15 sec, same train crosses another platform of length 180 m in 18 sec. then find the length of the train?",B,MULTIPLE_CHOICE,"A)288
B)180
C)288
D)277
E)265",,
75,,Find the area of a rhombus whose side is 25 cm and one of the diagonals is 30 cm?,E,MULTIPLE_CHOICE,"A)272 sq.cm
B)267 sq.cm
C)286 sq.cm
D)251 sq.cm
E)600 sq.cm",,
76,,How long does a train 110 m long running at the speed of 72 km/hr takes to cross a bridge 132 m length?,B,MULTIPLE_CHOICE,"A)12.8 sec
B)12.1 sec
C)12.2 sec
D)12.6 sec
E)11.1 sec",,
77,,"The consumption of diesel per hour of a bus varies directly as square of its speed. When the bus is travelling at 60 kmph its consumption is 1 litre per hour. if each litre costs $60 and other expenses per hous is $ 60, then what would be the minimum expenditure required to cover a distance of 600 Km?",C,MULTIPLE_CHOICE,"A)120
B)1250
C)1200
D)1100
E)1150",,
78,,"From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. What is the probability of having 0 woman in committee ?",C,MULTIPLE_CHOICE,"A)7/36
B)9/144
C)1/36
D)1/18
E)5/18",,
79,,"A box contains nine bulbs out of which 4 are defective. If four bulbs are chosen at random, find the probability that exactly three bulbs are good.?",B,MULTIPLE_CHOICE,"A)20/69
B)20/63
C)20/65
D)20/61
E)20/62",,
80,,A train passes a station platform in 32 sec and a man standing on the platform in 20 sec. If the speed of the train is 54 km/hr. What is the length of the platform?,E,MULTIPLE_CHOICE,"A)228
B)240
C)887
D)166
E)180",,
81,,"If |w|=−w, which of the following must be true?",B,MULTIPLE_CHOICE,"A)x≥0
B)w≤0
C)x2>x
D)x3<0
E)2x<x",,
82,,Two numbers are less than third number by 30% and 37% respectively. How much percent is the second number less than by the first,C,MULTIPLE_CHOICE,"A)8%
B)9%
C)10%
D)11%
E)12%",,
83,,How many numbers from 39 to 79 are exactly divisible by 11?,C,MULTIPLE_CHOICE,"A)5
B)7
C)4
D)11
E)12",,
84,,It is found that the volume of a cube is numerically equal to its surface area. Then the measure of its edge in meters is:,B,MULTIPLE_CHOICE,"A)4
B)6
C)8
D)9
E)cannot be determined",,
85,,"if there are 30 cans out of them one is poisned if a person tastes very little he will die within 14 hours so if there are mice to test and 24 hours to test, how many mices are required to find the poisned can?",D,MULTIPLE_CHOICE,"A)3
B)2
C)6
D)1
E)7",,
86,,How long does a train 165 meters long running at the rate of 72 kmph take to cross a bridge 660 meters in length?,B,MULTIPLE_CHOICE,"A)28
B)41.25
C)55
D)18
E)12",,
87,,"A particular store purchased a stock of turtleneck sweaters and marked up its cost by 20%. During the New Year season, it further marked up its prices by 25% of the original retail price. In February, the store then offered a discount of 15%. What was its profit on the items sold in February?",A,MULTIPLE_CHOICE,"A)27.5%
B)30%
C)35%
D)37.5%
E)40%",,
88,,Half of 2 percent written as decimal is,A,MULTIPLE_CHOICE,"A)0.01
B)0.5
C)0.05
D)0.005
E)None of these",,
89,,"If books bought at prices ranging from Rs. 98 to Rs. 195 are sold at prices ranging from Rs. 120 to Rs 215, what is the greatest possible profit that might be made in selling 13 books ?",C,MULTIPLE_CHOICE,"A)Rs. 1650
B)Rs. 3000
C)Rs. 1521
D)Rs. 1400
E)Rs. 1560",,
90,,"Two trains A and B starting from two points and travelling in opposite directions, reach their destinations 9 hours and 4 hours respectively after meeting each other. If the train A travels at 60kmph, find the rate at which the train B runs.",B,MULTIPLE_CHOICE,"A)40
B)90
C)120
D)80
E)100",,
91,,I bought three toys for my triplet boys (one for each). I placed the toys in the dark store. One by one each boy went to the store and pick the toy. What is the probability that no boy will choose his own toy?,A,MULTIPLE_CHOICE,"A)1/3
B)2/3
C)3/3
D)4/3
E)5/3",,
92,,"A man, a woman and a boy can complete a job in 3 days, 4 days and 12 days respectively. How many boys must assist 1 man and 1 woman to complete the job in 1/4th of a day?",B,MULTIPLE_CHOICE,"A)10
B)41
C)31
D)21
E)22",,
93,,"At present, the ratio between the ages of Amit and Dhiraj is 5 : 4. After 6 years, Amit’s age will be 26 years. What is the age of Dhiraj at present?",A,MULTIPLE_CHOICE,"A)16
B)77
C)566
D)197
E)161",,
94,,A and B invests Rs.3000 and Rs.4000 respectively in a business. If A doubles his capital after 6 months. In what ratio should A and B divide that year's profit?,B,MULTIPLE_CHOICE,"A)9:6
B)9:8
C)9:1
D)9:9
E)9:5",,
95,,"If x-y=10, which of the following must be true?
I. Both x and y are positive
II. If x is negative, y must be negative
III.If x is positive, y must be positive",B,MULTIPLE_CHOICE,"A)I only
B)II only
C)III only
D)I and II
E)II and III",,
96,,"If each side of a square is increased by 25%, find the percentage change in its area?",B,MULTIPLE_CHOICE,"A)65.25
B)56.25
C)65
D)56
E)25",,
97,,"If the sum and difference of two numbers are 20 and 8 respectively, then the difference of their square is:",C,MULTIPLE_CHOICE,"A)12
B)28
C)160
D)180
E)18",,
98,,"If $500 is deposited into a savings account at an annual interest rate of 5% that compounds monthly, what is the value of the investment after 10 years?",B,MULTIPLE_CHOICE,"A)$750.00
B)$823.50
C)$973.25
D)$1000.25
E)$1100.00",,
99,,Two jars contain milk and water in the ratio 5: 4 and 2: 1 regpectively. What volume should be taken out from the first jar if volumes have to be taken out from both jars so as to fill up a third 30 l jar with milk to water in the ratio 1: 1 ?,D,MULTIPLE_CHOICE,"A)7.5 l
B)15 l
C)22.5 l
D)It is impossible
E)none of these",,
100,,"A clock shows the time as 9 a.m. If the minute hand gains 5 minutes every hour, how many minutes will the clock gain by 5 p.m.?",D,MULTIPLE_CHOICE,"A)30 min
B)35 min
C)45 min
D)40 min
E)55 min",,
101,,At a Supermarket a certain item has increased from 72 cents per pound to 78 cents per pound. What is the % increase in the cost of item?,C,MULTIPLE_CHOICE,"A)6.33%
B)7.22%
C)8.33%
D)8%
E)7%",,
102,,How many positive 5-digit integers have the odd sum E of their digits?,D,MULTIPLE_CHOICE,"A)9*10^2
B)9*10^3
C)10^4
D)45*10^3
E)9*10^4",,
103,,There are different 15 circles. What is the number of the greatest possible points with which the circles intersect?,E,MULTIPLE_CHOICE,"A)390
B)100
C)110
D)180
E)210",,
104,,"B completes a work in 9 days. A alone can do it in 10 days. If both work together, the work can be completed in how many days?",B,MULTIPLE_CHOICE,"A)3.75 days
B)4.73 days
C)5.75 days
D)6.75 days
E)7.73 days",,
105,,"A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?",C,MULTIPLE_CHOICE,"A)1/3
B)1/4
C)1/5
D)1/7
E)1/8",,
106,,A car is running at a speed of 96kmph. What distance will it cover in 14sec?,A,MULTIPLE_CHOICE,"A)378m
B)350m
C)380m
D)200m
E)250m",,
107,,The average of 6 observations is 11. A new observation is included and the new average is decreased by 1. The seventh observation is?,A,MULTIPLE_CHOICE,"A)4
B)3
C)5
D)6
E)7",,
108,,"The population of a town increased from 1,75,000 to 2,62,500 in a decade. The average percent increase of population per year is :",B,MULTIPLE_CHOICE,"A)4.37%
B)5%
C)6%
D)8.75%
E)None of these",,
109,,"If a + b = y and a - b = z , then 3ab =
can someone explain!",A,MULTIPLE_CHOICE,"A)(3y^2 - 3z^2)/4
B)(3z^2 - 3y^2)/4
C)3y+3z/2
D)3y - 3z/2
E)3y^2 - 3z^2/2",,
110,,If two numbers are in the ratio 2:3. If 10 is added to both of the numbers then the ratio becomes 3:4 then find the smallest number?,C,MULTIPLE_CHOICE,"A)12
B)18
C)20
D)24
E)26",,
111,,A batsman in his 12th innings makes a score of 65 and thereby increases his average by 2 runs. What is his average after the 12th innings if he had never been ‘not out’?,B,MULTIPLE_CHOICE,"A)42
B)43
C)44
D)45
E)46",,
112,,"In a division sum, the remainder is 6 and the divisor is 5 times the quotient and is obtained by adding 7 to the thrice of the remainder. The dividend is",E,MULTIPLE_CHOICE,"A)74
B)78
C)86
D)92
E)106",,
113,,The average weight of 8 person's increases by 2.5 kg when a new person comes in place of one of them weighing 55 kg. What might be the weight of the new person?,B,MULTIPLE_CHOICE,"A)70kg
B)75kg
C)80kg
D)85kg
E)90kg",,
114,,"Amy has to visit towns B and C in any order. The roads connecting these towns with her home are shown on the diagram. How many different routes can she take starting from A and returning to A, going through both B and C (but not more than once through each) and not travelling any road twice on the same trip?",B,MULTIPLE_CHOICE,"A)10
B)8
C)6
D)4
E)2",,
115,,"Incomes of two companies A and B are in the ratio of 5 : 8. Had the income of company A been more by 25 lakh, the ratio of their incomes would have been 5 : 4. What is the income of company B?",C,MULTIPLE_CHOICE,"A)80 lakh
B)50 lakh
C)40 lakh
D)60 lakh
E)None of these",,
116,,"The area of a triangle will be when a = 1m, b = 2m, c = 3m, a, b, c being lengths of respective sides.",A,MULTIPLE_CHOICE,"A)0 sq m
B)2 sq m
C)9 sq m
D)20 sq m
E)5 sq m",,
117,,"P and Q started a business investing Rs. 85,000 and Rs. 30,000 respectively. In what ratio the profit earned after 2 years be divided between P and Q respectively?",A,MULTIPLE_CHOICE,"A)17:6
B)17:0
C)17:4
D)17:2
E)17:3",,
118,,"A and B are playing mathematical puzzles. A asks B ""which whole numbers, greater than one, can divide all the nine three digit numbers 111,222,333,444,555,666, 777,888 and 999?""
B immediately gave the desired answer. It was :-",B,MULTIPLE_CHOICE,"A)3, 37 and 119
B)3, 37 and 111
C)9, 37 and 111
D)3, 9 and 37
E)None",,
119,,"A 1200 m long train crosses a tree in 120 sec, how much time will I take to pass a platform 700 m long?",B,MULTIPLE_CHOICE,"A)277 Sec
B)190 Sec
C)187 Sec
D)286 Sec
E)215 Sec",,
120,,In how many different ways can the letters of the word ‘ARMOUM’ be arranged?,E,MULTIPLE_CHOICE,"A)200
B)210
C)230
D)250
E)360",,
121,,Which digits should come in place of @ and # if the number 62684@# is divisible by both 8 and 5?,A,MULTIPLE_CHOICE,"A)4,0
B)0,4
C)4,4
D)0,0
E)None",,
122,,"A train 125 m long passes a man, running at 1 km/hr in the same direction in which the train is going, in 10 sec. The speed of the train is?",E,MULTIPLE_CHOICE,"A)65 km/hr
B)17 km/hr
C)76 km/hr
D)50 km/hr
E)46 km/hr",,
123,,A work which could be finished in 8 days was finished 3 days earlier after 10 more men joined. The number of men employed was?,B,MULTIPLE_CHOICE,"A)22
B)30
C)88
D)71
E)11",,
124,,Each digit in the two-digit number G is halved to form a new two-digit number H. Which of the following could be the sum of G and H,B,MULTIPLE_CHOICE,"A)153
B)159
C)137
D)121
E)89",,
125,,The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,B,MULTIPLE_CHOICE,"A)9
B)2
C)7
D)8
E)1",,
126,,"Renu can do a piece of work in 8 days, but with the help of her friend Suma , she can do it in 4 days. In what time Suma can do it alone?",A,MULTIPLE_CHOICE,"A)8
B)12
C)14
D)15
E)17",,
127,,"There are 4 people who has to cross a stretch of 300 km. They normally run at a speed of 10 kmph. One
of them has a bike that travels at 50 kmph. The bike first takes one person alone and crosses the
stretch while the other two keep running. Then he comes back without wasting time and picks up
another person from the way, drives him across the stretch, and does the same for the last person. How
long does this whole process take?",D,MULTIPLE_CHOICE,"A)24 hrs
B)16 hrs
C)56/3 hrs
D)58/3 hrs
E)18 hrs",,
128,,"The security gate at a storage facility requires a Six-digit lock code. If the lock code must consist only of digits from 1 through 9, inclusive, with no repeated digits, and the first and last digits of the code must be odd, how many lock codes are possible?",E,MULTIPLE_CHOICE,"A)120
B)240
C)360
D)720
E)16800",,
129,,"If by selling an article for Rs.60, a person loses 1/7 of money, what would he have gained or lost % by selling it for Rs.77?",B,MULTIPLE_CHOICE,"A)5%
B)10%
C)20%
D)30%
E)45%",,
130,,"If a light flashes every 6 seconds, how many times will it flash in ¾ of an hour?",A,MULTIPLE_CHOICE,"A)451 times
B)638 times
C)838 times
D)436 times
E)435 times",,
